CellID,POU5F1,SOX2,GATA2,GATA3,TBXT,EOMES,SOX17,BLIMP1,PRDM14,TFAP2C
dummyspe3_0001,105,146,176,154,76,75,0,195,152,14
dummyspe3_0002,158,44,39,16,96,188,90,126,26,58
dummyspe3_0003,40,68,44,68,81,125,96,73,189,72
dummyspe3_0004,193,38,15,86,129,25,190,179,171,183
dummyspe3_0005,193,152,170,104,71,11,49,181,128,123
dummyspe3_0006,137,117,80,66,125,133,4,51,159,0
dummyspe3_0007,24,13,124,133,17,112,141,199,187,170
dummyspe3_0008,84,74,25,16,115,168,145,95,159,69
dummyspe3_0009,117,24,178,23,50,166,2,159,179,108
dummyspe3_0010,196,151,65,157,116,55,98,73,48,181
dummyspe3_0011,199,94,47,179,36,42,114,7,111,0
dummyspe3_0012,0,15,136,38,14,51,9,190,182,50
dummyspe3_0013,34,50,80,136,9,65,156,140,26,176
dummyspe3_0014,10,152,114,17,35,54,176,142,39,68
dummyspe3_0015,122,161,131,21,111,103,23,154,119,58
dummyspe3_0016,135,172,47,112,33,25,168,137,128,158
dummyspe3_0017,174,96,189,1,129,165,34,124,46,1
dummyspe3_0018,152,132,140,38,40,92,18,101,73,122
dummyspe3_0019,111,153,108,77,141,194,118,0,1,65
dummyspe3_0020,183,192,35,137,129,56,64,44,126,45
dummyspe3_0021,23,81,92,86,81,129,193,85,175,97
dummyspe3_0022,121,21,154,139,77,116,82,128,101,20
dummyspe3_0023,0,92,144,121,130,13,172,54,5,44
dummyspe3_0024,69,81,118,19,153,50,100,90,59,114
dummyspe3_0025,186,39,124,15,61,58,182,74,186,125
dummyspe3_0026,13,136,12,109,157,172,165,193,77,72
dummyspe3_0027,161,157,55,181,65,170,185,131,75,118
dummyspe3_0028,91,144,199,176,27,79,199,12,0,60
dummyspe3_0029,126,123,130,193,200,11,163,104,163,92
dummyspe3_0030,20,40,149,40,105,154,172,142,74,49
dummyspe3_0031,9,124,88,13,98,107,43,193,51,142
dummyspe3_0032,98,106,169,20,189,74,22,72,192,196
dummyspe3_0033,21,142,146,183,25,154,10,124,38,44
dummyspe3_0034,118,153,119,51,173,123,166,129,133,64
dummyspe3_0035,180,38,55,193,21,148,182,93,143,102
dummyspe3_0036,88,185,95,83,190,25,161,5,133,155
dummyspe3_0037,54,29,184,102,157,76,108,97,82,48
dummyspe3_0038,54,140,67,111,137,70,158,44,142,5
dummyspe3_0039,153,123,123,17,194,138,60,182,82,64
dummyspe3_0040,136,130,164,50,83,126,27,145,113,64
dummyspe3_0041,5,140,177,147,124,198,125,177,199,127
dummyspe3_0042,111,192,75,98,139,10,92,81,156,160
dummyspe3_0043,72,27,93,194,109,21,197,136,169,199
dummyspe3_0044,49,137,80,4,24,185,57,114,116,172
dummyspe3_0045,68,51,180,102,16,38,139,74,141,36
dummyspe3_0046,163,112,81,132,40,49,56,93,178,127
dummyspe3_0047,172,168,168,45,141,87,89,97,15,115
dummyspe3_0048,149,36,196,71,59,31,190,194,32,183
dummyspe3_0049,43,8,26,0,148,25,126,96,87,47
