CellID,POU5F1,SOX2,GATA2,GATA3,TBXT,EOMES,SOX17,BLIMP1,PRDM14,TFAP2C
dummyspe2_0001,56,73,122,145,98,170,62,80,149,37
dummyspe2_0002,88,115,34,191,74,41,197,85,103,77
dummyspe2_0003,114,60,183,46,9,93,106,14,132,199
dummyspe2_0004,174,55,88,108,150,25,17,68,176,40
dummyspe2_0005,117,167,133,72,83,153,37,147,194,66
dummyspe2_0006,87,47,13,157,179,34,117,19,131,138
dummyspe2_0007,97,41,101,189,44,111,12,163,28,143
dummyspe2_0008,33,81,68,50,182,112,137,98,172,129
dummyspe2_0009,6,129,85,140,151,4,194,186,48,71
dummyspe2_0010,115,97,37,112,60,135,195,2,64,88
dummyspe2_0011,186,192,73,139,154,40,87,127,110,26
dummyspe2_0012,69,198,109,34,144,181,172,83,103,77
dummyspe2_0013,38,54,126,53,100,31,190,135,141,149
dummyspe2_0014,97,42,19,173,120,61,76,151,105,167
dummyspe2_0015,21,138,64,146,125,47,184,28,87,195
dummyspe2_0016,153,48,177,76,90,173,34,99,129,139
dummyspe2_0017,165,93,104,29,131,192,53,137,151,20
dummyspe2_0018,170,145,60,183,52,98,147,87,198,117
dummyspe2_0019,136,199,33,65,45,188,70,153,40,178
dummyspe2_0020,99,105,157,190,143,23,134,68,31,79
dummyspe2_0021,150,64,192,140,109,42,152,29,98,167
dummyspe2_0022,118,26,92,184,76,37,156,85,137,102
dummyspe2_0023,42,87,177,145,108,12,68,120,193,160
dummyspe2_0024,186,99,4,159,64,97,71,35,90,198
dummyspe2_0025,130,154,101,86,77,134,119,46,200,162
dummyspe2_0026,3,195,58,111,43,100,26,83,70,186
dummyspe2_0027,149,124,88,129,176,60,194,103,123,55
dummyspe2_0028,93,162,146,99,73,110,178,82,50,101
dummyspe2_0029,126,78,134,141,39,105,185,116,86,65
dummyspe2_0030,157,49,31,130,99,12,147,90,200,43
dummyspe2_0031,8,191,119,123,44,185,128,25,66,113
dummyspe2_0032,168,137,80,142,36,74,152,112,47,179
dummyspe2_0033,142,64,108,94,169,190,97,180,43,126
dummyspe2_0034,55,152,91,116,82,177,59,29,100,145
dummyspe2_0035,62,179,53,141,125,200,71,117,184,32
dummyspe2_0036,197,189,124,88,65,94,166,71,19,50
dummyspe2_0037,93,111,77,131,98,182,49,153,112,69
dummyspe2_0038,84,146,136,40,119,72,157,104,179,22
dummyspe2_0039,76,169,115,173,48,134,91,61,130,186
dummyspe2_0040,59,97,173,106,25,167,143,19,121,140
dummyspe2_0041,127,141,89,156,37,90,85,186,120,111
dummyspe2_0042,48,112,172,85,38,123,104,93,53,146
dummyspe2_0043,162,37,60,183,120,25,150,44,172,131
dummyspe2_0044,71,178,43,109,56,155,182,97,188,84
dummyspe2_0045,114,129,185,82,96,131,131,98,182,49
dummyspe2_0046,29,50,191,147,85,40,40,119,72,157
dummyspe2_0047,173,120,61,76,183,173,173,48,134,91
dummyspe2_0048,146,125,47,184,120,131,98,182,49,153
dummyspe2_0049,76,90,173,34,56,40,119,72,157,82
dummyspe2_0050,29,131,192,53,96,173,48,134,91,116
